,0,1,2,3,4,5,6,7,8,9,-,(,),+,A,alpha,b,c,d,delta,e,f,/,G,>,H,infinity,integral,k,l,<,M,N,not equal,o,p,pi,q,R,S,sigma,square root,sum,T,theta,u,v,w,x,y,z
l,0,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,7,0,0,0,0,0,0,66,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
<,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,217,16,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
N,4,6,0,0,7,0,0,0,0,1,0,0,0,0,13,1,2,0,0,0,0,0,0,0,0,54,6,0,0,0,0,144,799,0,0,1,13,1,8,0,0,1,0,0,0,8,7,10,0,0,0
not equal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
p,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,0,0,2,1,0,0,250,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pi,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,197,0,3,0,0,2,3,0,0,6,0,0,3,0,3
q,0,1,0,0,5,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,99,1,0,0,0,0,0,0,0,0,0,0,2,1
R,0,0,0,1,0,0,0,0,3,0,1,0,0,0,2,0,1,0,0,0,2,1,0,0,0,0,3,1,15,0,1,0,0,0,0,2,3,0,212,0,0,9,0,1,0,0,1,0,8,0,0
S,2,1,0,3,0,17,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0
sigma,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,0
square root,0,0,0,0,0,0,0,0,0,0,23,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,40,0,0,814,0,0,0,0,7,0,0,0,0
sum,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,259,0,0,0,0,0,0,0,2
T,0,3,0,0,0,0,2,1,0,0,0,0,0,31,0,0,1,0,0,0,5,6,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,0,268,0,0,0,0,1,0,3
theta,12,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,237,2,0,3,0,0,0
u,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,15,0,0,0,0
v,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,6,0,1,0,0,0,5,0,0,0,0,0,0,0,139,0,0,0,0
w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,51,0,0,0
x,0,10,26,2,5,0,1,6,7,17,0,1,0,8,210,117,3,0,24,0,6,0,0,1,4,3,107,0,18,4,5,8,4,0,0,0,12,6,10,0,0,0,0,2,0,4,2,1,1941,31,53
y,1,1,0,0,9,0,0,0,18,46,0,2,1,0,1,1,0,0,0,0,4,6,0,184,3,0,0,1,0,0,0,0,3,0,0,7,1,26,1,0,1,0,0,1,5,1,3,0,3,604,0
z,0,0,40,3,0,0,0,2,12,0,0,0,6,1,1,0,2,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,2,0,0,0,0,1,9,486
